pmcid,pmid,doi,created,created_year
PMC1087510,15833113,10.1186/1743-422X-2-35,2005-04-15,2005
PMC1177995,15927084,10.1186/1743-422X-2-49,2005-06-01,2005
PMC1183252,15963240,10.1186/1743-422X-2-51,2005-06-20,2005
PMC1190220,16107218,10.1186/1743-422X-2-66,2005-08-17,2005
PMC1215526,16076403,10.1186/1743-422X-2-59,2005-08-03,2005
PMC1232869,16115318,10.1186/1743-422X-2-69,2005-08-22,2005
PMC1236967,16122388,10.1186/1743-422X-2-73,2005-08-25,2005
PMC1242244,16176577,10.1186/1476-072X-4-22,2005-09-21,2005
PMC1247577,15471708,10.1289/ehp.112-a789,2004-10-01,2004
PMC1247652,NA,NA,2004-11-01,2004
PMC1260030,16115320,10.1186/1743-422X-2-70,2005-08-22,2005
PMC1262740,16219096,10.1186/1476-069X-4-21,2005-10-11,2005
PMC1278499,NA,NA,2005-04-01,2005
PMC1314962,NA,NA,2005-12-01,2005
PMC1315359,16324220,10.1186/1471-213X-5-27,2005-12-03,2005
PMC1388193,16451721,10.1186/1743-422X-3-6,2006-02-01,2006
PMC1444920,16571117,10.1186/1743-422X-3-17,2006-03-29,2006
PMC1481635,16729896,10.1186/1743-422X-3-39,2006-05-29,2006
PMC1483818,16579862,10.1186/1743-422X-3-21,2006-04-02,2006
PMC1488829,16719922,10.1186/1743-422X-3-32,2006-05-23,2006
PMC1524727,16737539,10.1186/1743-422X-3-41,2006-05-31,2006
PMC1525181,16772029,10.1186/1743-422X-3-45,2006-06-13,2006
PMC1564392,16948846,10.1186/1743-422X-3-68,2006-09-01,2006
PMC1592083,16987422,10.1186/1743-422X-3-78,2006-09-20,2006
PMC1676004,17121680,10.1186/1743-422X-3-98,2006-11-22,2006
PMC1764468,17254296,10.1186/1471-2105-7-S5-S12,2006-12-18,2006
PMC1774570,17194306,10.1186/1743-422X-3-106,2006-12-28,2006
PMC1810241,17326843,10.1186/1743-422X-4-22,2007-02-27,2007
PMC1810517,17324273,10.1186/1743-422X-4-20,2007-02-26,2007
PMC1828050,17343744,10.1186/1743-422X-4-25,2007-03-07,2007
PMC1839082,17352827,10.1186/1743-422X-4-28,2007-03-12,2007
PMC1851004,17386116,10.1186/1743-422X-4-32,2007-03-27,2007
PMC1852297,17397531,10.1186/1743-422X-4-35,2007-03-30,2007
PMC1867954,NA,NA,2007-05-01,2007
PMC1878474,17477867,10.1186/1743-422X-4-39,2007-05-03,2007
PMC1892777,17555580,10.1186/1743-422X-4-55,2007-06-07,2007
PMC1950496,17598900,10.1186/1743-422X-4-65,2007-06-28,2007
PMC2146995,17937789,10.1186/1749-799X-2-15,2007-10-15,2007
PMC2216015,18053162,10.1186/1743-422X-4-130,2007-12-03,2007
