source_x,doi,pmcid,pubmed_id,date
Elsevier,10.1016/0002-8703(72)90077-4,NA,4361535,1972-12-31
Elsevier,10.1016/0002-8703(80)90355-5,NA,6243850,1980-03-31
Elsevier,10.1016/0002-8703(80)90356-7,NA,7355701,1980-03-31
Elsevier,10.1016/0002-9343(73)90176-9,NA,4579077,1973-08-31
Elsevier,10.1016/0002-9343(85)90361-4,NA,4014285,1985-06-28
Elsevier,10.1016/0002-9343(85)90367-5,NA,2861742,1985-06-28
Elsevier,10.1016/0002-9343(88)90356-7,NA,3052052,1988-10-14
Elsevier,10.1016/0002-9343(88)90456-1,NA,3048091,1988-09-16
Elsevier,10.1016/0002-9343(92)90608-E,NA,1621745,1992-06-22
Elsevier,10.1016/0002-9394(75)90398-0,NA,170831,1975-10-31
Elsevier,10.1016/0003-2697(88)90093-0,NA,3389520,1988-04-30
Elsevier,10.1016/0003-9861(91)90605-I,NA,1716878,1991-10-31
Elsevier,10.1016/0005-2736(93)90386-E,NA,8093665,1993-01-18
Elsevier,10.1016/0006-291X(85)91946-1,NA,2409966,1985-06-28
Elsevier,10.1016/0006-291X(89)90049-1,NA,2539121,1989-03-15
Elsevier,10.1016/0006-2952(86)90056-0,NA,3017357,1986-08-01
Elsevier,10.1016/0006-2952(90)90031-F,NA,1689159,1990-01-15
Elsevier,10.1016/0006-2952(90)90356-P,NA,2242014,1990-10-15
Elsevier,10.1016/0006-2952(91)90031-Y,NA,NA,1991-07-25
Elsevier,10.1016/0006-2952(91)90120-T,NA,1710119,1991-06-15
Elsevier,10.1016/0006-2952(92)90065-Q,NA,1360211,1992-11-03
Elsevier,10.1016/0006-3223(90)90444-7,NA,2155672,1990-03-01
Elsevier,10.1016/0006-8993(86)91364-8,NA,2432991,1986-11-05
Elsevier,10.1016/0006-8993(93)90455-V,NA,8348305,1993-06-04
Elsevier,10.1016/0006-8993(94)91327-7,NA,7922504,1994-06-06
Elsevier,10.1016/0006-8993(95)01535-3,NA,8724991,1996-03-25
Elsevier,10.1016/0007-0971(80)90048-0,NA,6968574,1980-12-31
Elsevier,10.1016/0007-1935(86)90026-6,NA,3594163,1986-08-31
Elsevier,10.1016/0007-1935(86)90081-3,NA,NA,1986-06-30
Elsevier,10.1016/0007-1935(86)90082-5,NA,NA,1986-06-30
Elsevier,10.1016/0007-1935(86)90083-7,NA,NA,1986-06-30
Elsevier,10.1016/0007-1935(86)90105-3,NA,3594181,1986-12-31
Elsevier,10.1016/0007-1935(88)90021-8,NA,3203202,1988-12-31
Elsevier,10.1016/0007-1935(88)90041-3,NA,3382898,1988-04-30
Elsevier,10.1016/0007-1935(88)90042-5,NA,3382899,1988-04-30
Elsevier,10.1016/0007-1935(88)90053-X,NA,2838122,1988-04-30
Elsevier,10.1016/0007-1935(90)90016-V,NA,NA,1990-04-30
Elsevier,10.1016/0007-1935(90)90017-W,NA,NA,1990-04-30
Elsevier,10.1016/0007-1935(91)90005-8,NA,1913129,1991-08-31
Elsevier,10.1016/0007-1935(91)90010-K,NA,1717102,1991-08-31
Elsevier,10.1016/0007-1935(91)90042-L,NA,NA,1991-12-31
Elsevier,10.1016/0007-1935(92)90021-R,NA,NA,1992-12-31
Elsevier,10.1016/0007-1935(92)90027-X,NA,1330201,1992-10-31
Elsevier,10.1016/0007-1935(92)90044-2,NA,1319787,1992-06-30
Elsevier,10.1016/0007-1935(92)90045-3,NA,1319788,1992-06-30
Elsevier,10.1016/0007-1935(92)90053-4,NA,NA,1992-06-30
Elsevier,10.1016/0007-1935(92)90054-5,NA,NA,1992-06-30
Elsevier,10.1016/0007-1935(92)90055-6,NA,NA,1992-06-30
Elsevier,10.1016/0009-9120(91)90421-A,NA,1710177,1991-04-30
Elsevier,10.1016/0010-4825(84)90033-7,NA,6380915,1984-12-31
Elsevier,10.1016/0011-5029(84)90018-X,NA,6386397,1984-10-31
Elsevier,10.1016/0014-4800(76)90045-9,NA,187445,1976-12-31
Elsevier,10.1016/0014-4800(76)90050-2,NA,NA,1976-12-31
Elsevier,10.1016/0014-4800(82)90043-0,NA,6891341,1982-12-31
Elsevier,10.1016/0014-4800(83)90079-5,NA,6852211,1983-06-30
Elsevier,10.1016/0014-4800(89)90019-1,NA,2553474,1989-10-31
