source_x,doi,pmcid,pubmed_id,created,created_year
CZI,10.1007/s00134-020-05985-9,NA,32125455,2020-03-03,2020
CZI,10.1038/s41421-020-0147-1,NA,NA,2020-02-24,2020
CZI,10.3390/jcm9020538,NA,NA,2020-02-25,2020
CZI,10.3390/jcm9020575,NA,32093211,2020-02-25,2020
CZI,10.1007/s00134-020-05976-w,NA,32125453,2020-03-03,2020
CZI,10.1016/j.idm.2020.02.001,NA,NA,2020-02-11,2020
CZI,10.1016/j.idm.2020.02.002,NA,NA,2020-02-14,2020
CZI,10.1016/s2214-109x(20)30065-6,NA,32105614,2020-02-25,2020
CZI,10.1093/jtm/taaa030,NA,NA,2020-02-28,2020
CZI,10.1128/mBio.02764-19,NA,NA,NA,NA
CZI,10.1186/s41256-020-00137-4,NA,NA,2020-03-02,2020
CZI,10.2807/1560-7917.ES.2020.25.5.2000080,NA,NA,NA,NA
CZI,10.1093/bioinformatics/btaa145,NA,32108862,2020-02-25,2020
CZI,10.3346/jkms.2020.35.e79,NA,NA,2020-02-14,2020
CZI,10.3390/pathogens9020148,NA,NA,2020-02-24,2020
CZI,10.1016/j.eclinm.2020.100289,NA,NA,2020-03-03,2020
CZI,10.1016/j.meegid.2020.104272,NA,NA,2020-03-03,2020
CZI,10.1016/j.micinf.2020.01.004,NA,NA,2020-02-20,2020
CZI,10.1038/s41422-020-0282-0,NA,NA,2020-02-04,2020
CZI,10.1093/jtm/taaa011,NA,NA,2020-01-24,2020
CZI,10.12809/hkmj208375,NA,NA,2020-02-18,2020
CZI,10.20535/ibb.2020.4.1.195074,NA,NA,2020-02-20,2020
CZI,10.2807/1560-7917.ES.2020.25.8.2000097,NA,NA,NA,NA
CZI,10.1093/pcmedi/pbaa004,NA,NA,2020-02-11,2020
CZI,10.3389/fmicb.2019.03036,NA,NA,2020-01-30,2020
CZI,10.3390/ijerph17051633,NA,NA,2020-03-03,2020
CZI,10.1007/s13238-020-00693-y,NA,32088858,2020-02-22,2020
CZI,10.1016/s2214-109x(20)30076-0,NA,32113504,2020-02-27,2020
CZI,10.1186/s13054-020-2786-x,NA,NA,2020-02-19,2020
CZI,10.24171/j.phrp.2020.11.1.01,NA,NA,2020-02-28,2020
CZI,10.3390/jcm9030674,NA,32131537,2020-03-03,2020
CZI,10.3390/v12020244,NA,NA,2020-02-24,2020
CZI,10.1007/s00134-020-05954-2,NA,NA,2020-02-05,2020
CZI,10.3390/v12020135,NA,NA,2020-01-24,2020
CZI,10.1016/j.dib.2020.105340,NA,NA,2020-02-26,2020
CZI,10.1017/S0950268820000424,NA,32100667,NA,NA
CZI,10.1038/s41586-020-2008-3,NA,32015508,2020-02-03,2020
CZI,10.1093/nsr/nwaa030,NA,NA,2020-02-18,2020
CZI,10.1016/j.bsheal.2020.02.001,NA,NA,2020-02-05,2020
CZI,10.1016/j.ijid.2020.02.018,NA,NA,2020-02-17,2020
CZI,10.1016/j.ijid.2020.02.052,NA,NA,2020-03-04,2020
CZI,10.1038/s41421-020-0148-0,NA,NA,2020-02-24,2020
CZI,10.1093/jtm/taaa021,NA,NA,2020-02-11,2020
CZI,10.2807/1560-7917.ES.2019.24.48.1900244,NA,NA,NA,NA
CZI,10.3390/v12020194,NA,NA,2020-02-11,2020
CZI,10.2807/1560-7917.ES.2020.25.6.2000082,NA,NA,NA,NA
CZI,10.3390/jcm9020488,NA,32054045,2020-02-11,2020
CZI,10.1016/S2214-109X(20)30068-1,NA,NA,NA,NA
CZI,10.1016/j.ijid.2020.02.033,NA,NA,2020-02-22,2020
CZI,10.1017/ice.2020.61,NA,NA,2020-03-03,2020
CZI,10.1093/jtm/taaa024,NA,NA,2020-02-25,2020
CZI,10.1155/2019/1386740,NA,134769660,2019-02-18,2019
CZI,10.2807/1560-7917.ES.2020.25.5.2000062,NA,NA,NA,NA
CZI,10.3390/jcm9030657,NA,32121356,2020-03-02,2020
CZI,10.3390/v12030254,NA,NA,2020-02-26,2020
CZI,10.1002/cti2.1115,NA,NA,2020-02-19,2020
CZI,10.1016/S2542-5196(20)30035-8,NA,NA,NA,NA
CZI,10.1016/j.ijid.2020.02.060,NA,NA,2020-03-04,2020
CZI,10.1093/pcmedi/pbaa006,NA,NA,2020-02-18,2020
CZI,10.1097/CM9.0000000000000744,NA,32044814,NA,NA
CZI,10.1097/CM9.0000000000000777,NA,32118642,NA,NA
CZI,10.1097/jcma.0000000000000270,NA,32134861,2020-02-12,2020
CZI,10.3390/jcm9020462,NA,NA,2020-02-07,2020
CZI,10.1016/S2214-109X(20)30074-7,NA,NA,NA,NA
CZI,10.1097/CM9.0000000000000760,NA,32097202,NA,NA
CZI,10.35839/repis.4.1.613,NA,NA,2020-01-29,2020
CZI,10.1186/s40779-020-0233-6,NA,NA,2020-02-06,2020
CZI,10.3390/healthcare8010051,NA,32120965,2020-02-28,2020
CZI,10.3390/jcm9030637,NA,32120913,2020-03-02,2020
CZI,10.1016/j.ijid.2020.02.058,NA,NA,2020-03-04,2020
CZI,10.1016/j.infpip.2020.100044,NA,NA,2020-02-12,2020
CZI,10.1038/s41433-020-0790-7,NA,NA,2020-02-06,2020
CZI,10.1038/s41586-020-2012-7,NA,32015507,2020-02-03,2020
CZI,10.1097/JCMA.0000000000000270,NA,32049687,NA,NA
CZI,10.1186/s40249-020-00640-3,NA,NA,2020-02-28,2020
CZI,10.12688/f1000research.22211.2,NA,NA,2020-02-07,2020
CZI,10.4414/smw.2020.20203,NA,32031234,2020-02-07,2020
CZI,10.2991/jegh.k.200218.003,NA,NA,2020-02-21,2020
CZI,10.3390/jcm9020580,NA,NA,2020-02-25,2020
CZI,10.3855/jidc.12425,NA,NA,2020-02-06,2020
